Name,ID,Gender,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8,Result
Student190,ID1190,Male,6,6,7,8,6,0,7,6,Fail
Student191,ID1191,Female,7,6,0,8,8,9,7,9,Fail
Student192,ID1192,Male,9,7,9,8,6,9,6,6,Pass
Student193,ID1193,Male,8,7,8,9,6,6,9,8,Pass
Student194,ID1194,Female,9,9,7,7,8,0,9,8,Fail
Student195,ID1195,Male,8,6,7,9,8,8,8,9,Pass
Student196,ID1196,Female,8,9,7,9,7,6,7,9,Pass
Student197,ID1197,Male,0,7,6,0,9,8,8,7,Fail
Student198,ID1198,Female,9,9,6,8,7,7,6,8,Pass
Student199,ID1199,Male,8,8,8,0,0,8,9,7,Fail
Student200,ID1200,Male,6,6,6,9,6,0,7,7,Fail
Student201,ID1201,Female,7,9,8,7,7,8,6,9,Pass
Student202,ID1202,Male,9,7,8,7,0,8,6,6,Fail
Student203,ID1203,Female,8,0,0,8,9,6,8,9,Fail
Student204,ID1204,Female,8,9,7,8,7,7,0,6,Fail
Student205,ID1205,Male,8,9,9,8,6,7,9,8,Pass
Student206,ID1206,Female,0,0,8,8,9,9,9,6,Fail
Student207,ID1207,Male,6,7,7,7,9,6,7,9,Pass
Student208,ID1208,Male,9,0,8,7,9,7,8,7,Fail
Student209,ID1209,Male,8,8,9,7,9,9,6,6,Pass
Student210,ID1210,Male,0,7,6,9,6,8,6,8,Fail
Student211,ID1211,Female,6,6,9,9,6,9,7,9,Pass
Student212,ID1212,Male,9,6,9,8,6,6,0,7,Fail
Student213,ID1213,Female,6,7,9,7,8,8,9,7,Pass
Student214,ID1214,Male,0,6,6,7,6,6,6,6,Fail
Student215,ID1215,Male,8,8,8,9,6,9,8,8,Pass
Student216,ID1216,Female,8,8,9,9,8,7,9,6,Pass
Student217,ID1217,Male,6,8,7,6,6,8,9,6,Pass
Student218,ID1218,Female,8,9,8,9,6,0,7,6,Fail
Student219,ID1219,Male,6,9,9,8,8,9,9,9,Pass
Student220,ID1220,Male,7,8,8,6,9,7,7,7,Pass
Student221,ID1221,Male,9,7,9,9,9,7,7,7,Pass
Student222,ID1222,Male,6,7,7,9,6,7,9,8,Pass
Student223,ID1223,Female,8,9,9,6,6,8,7,9,Pass
Student224,ID1224,Male,7,6,6,0,8,8,6,6,Fail
Student225,ID1225,Male,9,9,9,7,6,9,8,0,Fail
Student226,ID1226,Male,9,7,9,6,6,9,8,9,Pass
Student227,ID1227,Female,8,7,7,8,6,6,6,9,Pass
Student228,ID1228,Female,9,9,8,9,9,7,6,9,Pass
Student229,ID1229,Female,9,9,9,6,6,9,7,9,Pass
Student230,ID1230,Male,9,8,7,7,6,7,9,7,Pass
Student231,ID1231,Female,8,7,9,6,7,9,9,6,Pass
Student232,ID1232,Male,8,9,0,6,9,8,6,6,Fail
Student233,ID1233,Female,7,8,8,6,6,8,7,6,Pass
Student234,ID1234,Female,9,8,7,6,6,6,8,7,Pass
Student235,ID1235,Male,9,7,7,7,6,9,8,9,Pass
Student236,ID1236,Female,9,7,7,7,9,0,0,9,Fail
Student237,ID1237,Male,7,9,6,8,7,6,7,6,Pass
Student238,ID1238,Female,7,8,8,6,8,8,6,9,Pass
Student239,ID1239,Male,9,6,7,8,9,7,9,8,Pass
Student240,ID1240,Female,8,9,6,6,9,7,8,7,Pass
Student241,ID1241,Male,6,9,8,6,6,6,8,8,Pass
Student242,ID1242,Male,7,9,8,9,6,8,6,7,Pass
Student243,ID1243,Male,8,9,9,6,6,8,9,7,Pass
Student244,ID1244,Female,6,9,7,6,7,7,0,6,Fail
Student245,ID1245,Male,8,9,6,8,9,9,9,7,Pass
Student246,ID1246,Female,6,0,8,7,8,6,0,6,Fail
Student247,ID1247,Female,6,6,8,9,7,8,8,9,Pass
Student248,ID1248,Male,7,7,0,6,6,7,6,8,Fail
Student249,ID1249,Male,6,9,8,8,8,9,7,7,Pass
Student250,ID1250,Female,7,9,0,6,9,6,9,6,Fail
Student251,ID1251,Male,6,7,7,6,7,6,6,6,Pass
Student252,ID1252,Male,7,7,6,9,7,9,6,8,Pass
Student253,ID1253,Male,7,7,8,8,7,6,9,8,Pass
Student254,ID1254,Female,6,9,6,7,0,8,8,9,Fail
Student255,ID1255,Female,8,8,6,9,7,6,6,7,Pass
Student256,ID1256,Female,7,6,9,6,8,8,6,8,Pass
Student257,ID1257,Female,0,8,7,9,6,7,8,6,Fail
Student258,ID1258,Male,7,7,9,8,7,6,6,7,Pass
Student259,ID1259,Female,9,8,9,8,6,6,9,6,Pass
Student260,ID1260,Female,6,6,8,8,8,7,8,8,Pass
Student261,ID1261,Female,7,9,0,7,8,7,8,9,Fail
Student262,ID1262,Male,7,8,9,8,9,8,9,0,Fail
Student263,ID1263,Female,8,7,6,6,9,7,7,7,Pass
Student264,ID1264,Female,7,7,9,0,8,9,8,0,Fail
Student265,ID1265,Female,9,6,8,7,9,7,9,8,Pass
Student266,ID1266,Male,8,8,7,9,6,8,7,7,Pass
Student267,ID1267,Female,7,8,7,9,9,8,7,8,Pass
Student268,ID1268,Female,0,9,8,7,6,9,8,6,Fail
Student269,ID1269,Male,7,6,6,9,9,9,9,6,Pass
Student270,ID1270,Female,6,8,8,9,8,7,9,6,Pass
Student271,ID1271,Male,9,7,6,7,7,7,9,8,Pass
Student272,ID1272,Female,9,7,6,9,6,6,6,7,Pass
Student273,ID1273,Female,7,7,6,9,6,6,6,0,Fail
Student274,ID1274,Female,9,8,6,9,7,7,9,0,Fail
Student275,ID1275,Female,8,9,9,7,8,9,9,9,Pass
Student276,ID1276,Male,6,8,6,6,7,7,7,8,Pass
Student277,ID1277,Female,9,9,6,9,7,9,9,6,Pass
Student278,ID1278,Female,8,6,7,8,9,6,6,0,Fail
Student279,ID1279,Male,6,7,9,6,8,9,7,6,Pass
Student280,ID1280,Male,9,8,9,0,8,8,8,7,Fail
Student281,ID1281,Female,7,6,7,8,9,7,9,7,Pass
Student282,ID1282,Male,8,9,6,7,6,6,6,6,Pass
Student283,ID1283,Female,7,7,7,6,0,0,8,6,Fail
Student284,ID1284,Female,9,9,8,7,0,8,9,9,Fail
Student285,ID1285,Male,9,6,8,8,8,7,7,9,Pass
Student286,ID1286,Male,9,7,9,8,7,7,0,7,Fail
Student287,ID1287,Male,8,8,7,7,6,6,7,9,Pass
Student288,ID1288,Female,9,8,7,7,7,9,9,8,Pass
Student289,ID1289,Male,7,7,6,8,9,8,7,6,Pass
Student290,ID1290,Female,9,8,6,9,6,0,0,9,Fail
Student291,ID1291,Female,0,7,9,8,7,9,8,9,Fail
Student292,ID1292,Female,6,7,6,6,9,7,7,9,Pass
Student293,ID1293,Female,0,7,9,8,8,0,9,8,Fail
Student294,ID1294,Male,7,6,7,7,7,9,0,7,Fail
Student295,ID1295,Male,8,8,9,7,9,6,7,7,Pass
Student296,ID1296,Male,0,9,6,8,8,8,8,7,Fail
Student297,ID1297,Male,6,6,6,9,9,8,7,6,Pass
Student298,ID1298,Female,7,8,9,9,0,9,8,9,Fail
Student299,ID1299,Female,9,9,7,7,8,6,8,9,Pass
Student300,ID1300,Female,7,8,7,0,0,8,9,9,Fail
Student301,ID1301,Male,0,6,9,0,6,7,6,8,Fail
Student302,ID1302,Female,9,0,7,7,7,0,6,0,Fail
Student303,ID1303,Female,6,6,6,7,0,7,9,6,Fail
Student304,ID1304,Female,9,6,9,8,6,6,8,9,Pass
Student305,ID1305,Female,6,6,8,9,9,6,9,6,Pass
Student306,ID1306,Male,6,8,6,6,7,6,7,9,Pass
Student307,ID1307,Male,6,6,7,8,6,9,6,7,Pass
Student308,ID1308,Female,7,9,7,6,8,8,7,8,Pass
Student309,ID1309,Male,0,8,9,7,6,7,9,9,Fail
Student310,ID1310,Female,7,0,8,7,0,7,9,8,Fail
Student311,ID1311,Male,7,6,8,7,6,9,0,8,Fail
Student312,ID1312,Male,8,0,7,8,8,0,7,7,Fail
Student313,ID1313,Male,6,6,6,9,9,8,0,8,Fail
Student314,ID1314,Male,8,9,6,0,9,7,6,8,Fail
Student315,ID1315,Female,8,7,7,0,7,6,9,8,Fail
Student316,ID1316,Male,9,8,8,6,7,6,9,7,Pass
Student317,ID1317,Male,9,9,6,9,8,9,8,9,Pass
Student318,ID1318,Male,9,6,6,7,6,6,6,6,Pass
Student319,ID1319,Male,7,6,8,6,7,7,6,7,Pass
Student320,ID1320,Male,9,8,9,7,8,8,0,0,Fail
Student321,ID1321,Female,9,9,9,9,9,8,7,9,Pass
Student322,ID1322,Female,8,7,9,7,8,9,0,0,Fail
Student323,ID1323,Male,6,9,0,7,7,7,0,8,Fail
Student324,ID1324,Male,9,0,6,6,8,8,7,9,Fail
Student325,ID1325,Female,9,6,6,6,6,7,8,8,Pass
Student326,ID1326,Male,9,9,7,6,7,6,7,9,Pass
Student327,ID1327,Female,8,6,7,7,8,6,7,7,Pass
Student328,ID1328,Female,6,6,6,9,7,9,8,9,Pass
Student329,ID1329,Female,8,6,7,7,0,9,9,7,Fail
Student330,ID1330,Male,9,8,7,7,7,9,6,8,Pass
Student331,ID1331,Female,8,7,6,8,8,9,8,6,Pass
Student332,ID1332,Female,8,8,9,9,0,8,9,8,Fail
Student333,ID1333,Female,9,9,6,8,7,7,7,8,Pass
Student334,ID1334,Female,6,0,6,6,9,8,9,6,Fail
Student335,ID1335,Male,9,6,0,8,8,9,7,6,Fail
Student336,ID1336,Female,0,7,9,8,8,8,9,9,Fail
Student337,ID1337,Female,8,9,6,9,7,7,8,6,Pass
Student338,ID1338,Male,8,9,0,9,0,7,7,9,Fail
Student339,ID1339,Female,6,8,6,6,9,9,6,9,Pass
Student340,ID1340,Female,6,7,9,8,6,9,8,7,Pass
Student341,ID1341,Male,7,6,9,7,6,8,6,6,Pass
Student342,ID1342,Male,8,9,8,7,9,7,9,6,Pass
Student343,ID1343,Female,9,7,7,7,8,6,7,6,Pass
Student344,ID1344,Male,7,7,6,9,7,8,9,7,Pass
Student345,ID1345,Male,9,9,7,8,8,7,6,6,Pass
Student346,ID1346,Male,6,7,8,6,7,8,9,7,Pass
Student347,ID1347,Female,9,6,7,6,9,7,6,6,Pass
Student348,ID1348,Female,8,7,8,8,8,7,9,9,Pass
Student349,ID1349,Female,6,7,7,9,9,6,7,9,Pass
Student350,ID1350,Male,7,6,9,9,0,6,8,6,Fail
Student351,ID1351,Female,7,8,8,6,6,6,9,6,Pass
Student352,ID1352,Male,0,6,7,6,0,9,7,7,Fail
Student353,ID1353,Male,7,7,6,6,8,9,9,6,Pass
Student354,ID1354,Female,9,7,8,7,6,8,8,7,Pass
Student355,ID1355,Male,6,8,7,9,6,8,6,8,Pass
Student356,ID1356,Female,6,8,0,8,8,9,6,6,Fail
Student357,ID1357,Male,9,8,9,9,6,6,0,8,Fail
Student358,ID1358,Female,9,8,6,7,6,8,7,6,Pass
Student359,ID1359,Female,8,6,8,6,7,7,8,7,Pass
Student360,ID1360,Female,8,9,6,9,7,8,9,9,Pass
Student361,ID1361,Female,8,7,6,8,7,8,8,6,Pass
Student362,ID1362,Male,7,8,7,0,8,9,9,7,Fail
Student363,ID1363,Female,8,7,7,7,6,8,7,0,Fail
Student364,ID1364,Female,9,6,6,8,8,8,9,0,Fail
Student365,ID1365,Male,8,7,6,6,7,0,9,9,Fail
Student366,ID1366,Female,0,7,0,9,9,8,8,0,Fail
Student367,ID1367,Male,7,9,7,7,9,7,6,7,Pass
Student368,ID1368,Female,6,7,7,6,7,6,6,9,Pass
Student369,ID1369,Male,9,9,7,7,8,6,8,6,Pass
Student370,ID1370,Male,9,9,9,7,7,7,8,6,Pass
Student371,ID1371,Male,9,7,6,8,7,7,9,6,Pass
Student372,ID1372,Female,9,7,8,9,7,7,7,9,Pass
Student373,ID1373,Male,6,0,8,6,8,7,9,6,Fail
Student374,ID1374,Male,8,0,8,0,7,7,6,9,Fail
Student375,ID1375,Male,6,9,7,7,8,7,8,7,Pass
Student376,ID1376,Male,6,6,7,0,9,9,8,6,Fail
Student377,ID1377,Male,8,8,8,8,9,9,8,9,Pass
Student378,ID1378,Female,8,6,9,8,6,9,7,9,Pass
Student379,ID1379,Male,6,8,9,8,9,8,8,9,Pass
Student380,ID1380,Female,6,9,0,7,7,9,6,9,Fail
Student381,ID1381,Female,8,8,6,9,8,6,8,6,Pass
Student382,ID1382,Male,7,6,9,6,6,9,7,9,Pass
Student383,ID1383,Male,7,7,6,9,9,9,9,7,Pass
Student384,ID1384,Male,0,0,0,6,8,8,8,7,Fail
Student385,ID1385,Female,7,9,7,7,6,7,6,9,Pass
Student386,ID1386,Female,6,8,7,6,6,9,8,7,Pass
Student387,ID1387,Female,9,6,6,8,6,8,6,9,Pass
Student388,ID1388,Male,8,9,8,6,7,8,7,7,Pass
Student389,ID1389,Male,7,8,7,0,6,6,8,9,Fail
Student390,ID1390,Female,7,9,9,6,8,6,8,6,Pass
Student391,ID1391,Female,9,6,6,9,8,6,9,8,Pass
Student392,ID1392,Male,7,0,6,8,7,6,0,9,Fail
Student393,ID1393,Male,9,0,9,0,6,6,8,7,Fail
Student394,ID1394,Female,6,9,9,8,6,9,8,7,Pass
Student395,ID1395,Male,7,8,7,6,8,7,7,8,Pass
Student396,ID1396,Female,9,7,6,7,7,6,7,9,Pass
Student397,ID1397,Female,7,6,9,6,8,6,9,6,Pass
Student398,ID1398,Male,6,7,9,9,7,8,8,7,Pass
Student399,ID1399,Male,9,7,7,7,9,9,6,7,Pass
Student400,ID1400,Male,9,8,9,6,7,8,8,9,Pass
Student401,ID1401,Male,7,7,7,6,9,9,8,0,Fail
Student402,ID1402,Female,6,9,6,6,6,8,6,9,Pass
Student403,ID1403,Male,6,6,9,7,7,9,8,8,Pass
Student404,ID1404,Male,8,9,7,9,6,9,7,9,Pass
Student405,ID1405,Female,7,9,6,9,8,0,8,9,Fail
Student406,ID1406,Female,7,6,9,9,9,7,6,7,Pass
Student407,ID1407,Male,7,7,9,8,6,6,7,7,Pass
Student408,ID1408,Female,6,6,7,9,9,7,9,7,Pass
Student409,ID1409,Male,0,0,6,9,8,8,9,7,Fail
Student410,ID1410,Male,6,7,9,9,8,8,8,7,Pass
Student411,ID1411,Male,9,6,6,0,8,9,9,7,Fail
Student412,ID1412,Female,0,6,7,7,6,9,6,7,Fail
Student413,ID1413,Female,6,7,9,9,6,9,8,6,Pass
Student414,ID1414,Female,7,7,7,9,0,6,9,6,Fail
Student415,ID1415,Female,9,9,9,0,6,8,6,7,Fail
Student416,ID1416,Male,9,7,9,6,6,6,8,9,Pass
Student417,ID1417,Female,6,8,7,8,9,6,8,6,Pass
Student418,ID1418,Male,7,0,6,6,9,6,7,6,Fail
Student419,ID1419,Male,9,6,6,7,9,9,7,9,Pass
Student420,ID1420,Male,0,7,7,9,8,8,8,6,Fail
Student421,ID1421,Female,8,6,8,6,6,6,0,7,Fail
Student422,ID1422,Male,9,7,9,7,6,0,6,7,Fail
Student423,ID1423,Male,8,7,8,8,7,6,6,9,Pass
Student424,ID1424,Female,6,9,7,9,8,6,6,8,Pass
Student425,ID1425,Male,9,7,8,0,6,7,8,8,Fail
Student426,ID1426,Female,7,7,6,6,9,6,8,9,Pass
Student427,ID1427,Male,8,8,8,9,9,8,6,9,Pass
Student428,ID1428,Female,6,6,9,7,9,8,8,9,Pass
Student429,ID1429,Male,9,6,9,8,6,9,6,8,Pass
Student430,ID1430,Female,6,7,7,9,6,6,8,7,Pass
Student431,ID1431,Female,9,9,9,6,6,6,7,9,Pass
Student432,ID1432,Male,9,8,6,7,9,9,9,9,Pass
Student433,ID1433,Female,7,8,7,9,7,8,7,7,Pass
Student434,ID1434,Male,9,7,9,9,7,7,9,9,Pass
Student435,ID1435,Female,0,7,9,7,7,8,7,6,Fail
Student436,ID1436,Male,0,7,8,9,8,7,8,8,Fail
Student437,ID1437,Female,6,7,8,7,6,9,8,9,Pass
